# AR,core_r,cool_r,PD,power,enrich,keff,ave_E,mass,q_dens
   1.00000,  19.90234,   0.56519,   1.57925, 163.26172,   0.80601,   0.96044,   0.91462, 224.11688,   6.59207
   1.00000,  33.84766,   0.82935,   1.17544,  99.98047,   0.83882,   0.96302,   0.88893, 590.45914,   0.82069
   1.00000,  10.03906,   0.60107,   1.37783, 113.86719,   0.81182,   0.41760,   1.12693,  23.53149,  35.82363
   1.00000,  25.09766,   0.95972,   1.22915, 148.84766,   0.59478,   0.73190,   0.86501, 281.32672,   2.99704
   1.00000,  11.07422,   0.60669,   1.39028, 185.29297,   0.55991,   0.37214,   1.04159,  32.11528,  43.42798
   1.00000,  32.48047,   0.74927,   1.38052, 102.32422,   0.74312,   1.13731,   0.83573, 801.35861,   0.95052
   1.00000,  22.48047,   0.59741,   1.17251, 101.50391,   0.43823,   0.47043,   0.86766, 170.31721,   2.84392
   1.00000,  24.82422,   0.68481,   1.18716, 196.54297,   0.73013,   0.71998,   0.90969, 241.16709,   4.08960
   1.00000,  36.15234,   0.66577,   1.36099, 152.01172,   0.25913,   0.70497,   0.65115,1074.47302,   1.02404
   1.00000,  16.15234,   0.91577,   1.11099,  92.01172,   0.60913,   0.34500,   1.02098,  49.30796,   6.95003
   1.00000,  37.51953,   0.51636,   1.34683, 197.36328,   0.25435,   0.69216,   0.64472,1173.02386,   1.18944
   1.00000,  23.88672,   0.53247,   1.50356, 126.23047,   0.42319,   0.76122,   0.76875, 364.04830,   2.94812
   1.00000,  30.37109,   0.64526,   1.10854, 124.35547,   0.51890,   0.53732,   0.84908, 321.01564,   1.41297
   1.00000,  23.41797,   0.51001,   1.53335, 125.17578,   0.32271,   0.65899,   0.73395, 351.93521,   3.10258
   1.00000,  15.13672,   0.54810,   1.39419,  91.89453,   0.88257,   0.70115,   1.01376,  82.34420,   8.43421
   1.00000,  45.60547,   0.77954,   1.41958, 119.19922,   0.40405,   1.05426,   0.66793,2329.91247,   0.40001
   1.00000,  27.44141,   0.65845,   1.52554, 183.30078,   0.36577,   0.79541,   0.71858, 563.55821,   2.82355
   1.00000,  20.29297,   0.93726,   1.16079, 168.06641,   0.22495,   0.29622,   0.84619, 121.15280,   6.40168
   1.00000,  17.67578,   0.91577,   1.18862, 183.76953,   0.24067,   0.28422,   0.87671,  87.82278,  10.59224
   1.00000,  24.16016,   0.59790,   1.44546, 115.33203,   0.57700,   0.87055,   0.82403, 355.94634,   2.60316
   1.00000,  36.46484,   0.60815,   1.47427, 166.07422,   0.22427,   0.70779,   0.61701,1260.95145,   1.09026
   1.00000,  39.58984,   0.94312,   1.30190, 117.20703,   0.32271,   0.80618,   0.67382,1287.15949,   0.60125
   1.00000,  47.44141,   0.96167,   1.41616, 197.71484,   0.24204,   0.83332,   0.59439,2615.52991,   0.58941
   1.00000,  35.91797,   0.91479,   1.49429,  87.44141,   0.35142,   0.91311,   0.67156,1231.34098,   0.60066
   1.00000,  46.89453,   0.55054,   1.10464, 180.48828,   0.55718,   0.72845,   0.77696,1151.55085,   0.55710
   1.00000,  11.03516,   0.51050,   1.15249, 159.16016,   0.69800,   0.23398,   1.13473,  18.66111,  37.70063
   1.00000,  40.52734,   0.72925,   1.33755,  86.38672,   0.71099,   1.21093,   0.80124,1462.61710,   0.41310
   1.00000,  30.33203,   0.96851,   1.11636,  82.05078,   0.41294,   0.52770,   0.82290, 335.76849,   0.93590
   1.00000,  46.77734,   0.68237,   1.57192, 180.13672,   0.73286,   1.44403,   0.78096,2897.22155,   0.56020
   1.00000,  39.78516,   0.55884,   1.50015, 124.70703,   0.69731,   1.29391,   0.78428,1677.50472,   0.63034
   1.00000,  15.64453,   0.62866,   1.58169, 199.23828,   0.70278,   0.73808,   0.94067, 109.11990,  16.56286
   1.00000,  10.29297,   0.56226,   1.53579, 198.06641,   0.39995,   0.31158,   1.00766,  29.96608,  57.81477
   1.00000,  16.73828,   0.67065,   1.16177, 121.07422,   0.31929,   0.28295,   0.92924,  67.85438,   8.21806
   1.00000,  35.68359,   0.76929,   1.50356, 159.04297,   0.86343,   1.35583,   0.85393,1216.60621,   1.11419
   1.00000,  23.76953,   0.87085,   1.14370, 103.61328,   0.23999,   0.33949,   0.81702, 182.16889,   2.45586
   1.00000,  34.04297,   0.95288,   1.17642,  81.81641,   0.55308,   0.79826,   0.81237, 603.82325,   0.66010
   1.00000,  40.68359,   0.96167,   1.31606, 114.04297,   0.89966,   1.32170,   0.86552,1431.91285,   0.53909
   1.00000,  25.99609,   0.69995,   1.10122, 114.98047,   0.25981,   0.31076,   0.82909, 193.90775,   2.08329
   1.00000,  33.84766,   0.69409,   1.35171, 190.09766,   0.34253,   0.78042,   0.69710, 870.26484,   1.56042
   1.00000,  42.12891,   0.92798,   1.22427, 184.23828,   0.55786,   0.99665,   0.76591,1313.94017,   0.78431
   1.00000,  18.30078,   0.97925,   1.58755, 146.38672,   0.31382,   0.55687,   0.78424, 175.76761,   7.60227
   1.00000,  14.47266,   0.78931,   1.41812, 139.35547,   0.50591,   0.51004,   0.93526,  74.34058,  14.63285
   1.00000,  46.66016,   0.57544,   1.47671, 167.83203,   0.62075,   1.30843,   0.74232,2647.13618,   0.52588
   1.00000,  20.13672,   0.56421,   1.52603, 126.93359,   0.79165,   0.93356,   0.91282, 222.54904,   4.94835
   1.00000,  34.39453,   0.52417,   1.25356,  99.04297,   0.51343,   0.84513,   0.77143, 760.99521,   0.77483
   1.00000,  36.15234,   0.66577,   1.43862, 123.76953,   0.59067,   1.12720,   0.76456,1184.70765,   0.83379
   1.00000,  49.39453,   0.83179,   1.19106, 127.98828,   0.37466,   0.84354,   0.68715,1928.45148,   0.33805
   1.00000,  18.88672,   0.84497,   1.51968, 171.23047,   0.68569,   0.83638,   0.89877, 183.06150,   8.09024
   1.00000,  48.53516,   0.78687,   1.37124, 106.66016,   0.79712,   1.40088,   0.80965,2641.29434,   0.29695
   1.00000,  27.36328,   0.97437,   1.16958, 124.70703,   0.80396,   0.81159,   0.91806, 306.52962,   1.93748
